Probe	Sample_Type	Disease_State		Sample_ID	Expression_Value	Standard_Deviation
ILMN_1705546	hONS	SZ	donor	1	3.2766569763	0
ILMN_1705546	hONS	SZ	donor	10	3.257833738	0
ILMN_1705546	hONS	SZ	donor	15	3.6113789051	0
ILMN_1705546	hONS	SZ	donor	2	3.2416301706	0
ILMN_1705546	hONS	SZ	donor	3	3.3110340707	0
ILMN_1705546	hONS	SZ	donor	5	3.2594334559	0
ILMN_1705546	hONS	SZ	donor	6	3.1914431499	0
ILMN_1705546	hONS	SZ	donor	7	3.5331744643	0
ILMN_1705546	hONS	SZ	donor	9	3.6571092894	0
ILMN_1705546	hONS	control	donor	1	3.6015560516	0
ILMN_1705546	hONS	control	donor	10	4.0001251172	0
ILMN_1705546	hONS	control	donor	11	3.471280294	0
ILMN_1705546	hONS	control	donor	12	3.5807154551	0
ILMN_1705546	hONS	control	donor	13	3.3178567191	0
ILMN_1705546	hONS	control	donor	15	3.734995248	0
ILMN_1705546	hONS	control	donor	2	3.3390496564	0
ILMN_1705546	hONS	control	donor	27	3.2044158005	0
ILMN_1705546	hONS	control	donor	29	3.5867274069	0
ILMN_1705546	hONS	control	donor	4	3.3838636592	0
ILMN_1705546	hONS	control	donor	5	3.418873076	0
ILMN_1705546	hONS	control	donor	7	3.867845033	0
ILMN_1705546	hONS	control	donor	8	3.4529746551	0
ILMN_1705546	hONS	control	donor	9	3.4743910333	0
